Conference,Regional Rank,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoff
Eastern Conference,1,Milwaukee Bucks,58,24,.707,—,116.9,113.3,3.61,1
Eastern Conference,2,Boston Celtics,57,25,.695,1.0,117.9,111.4,6.38,1
Eastern Conference,3,Philadelphia 76ers,54,28,.659,4.0,115.2,110.9,4.37,1
Eastern Conference,4,Cleveland Cavaliers,51,31,.622,7.0,112.3,106.9,5.23,1
Eastern Conference,5,New York Knicks,47,35,.573,11.0,116.0,113.1,2.99,1
Eastern Conference,6,Brooklyn Nets,45,37,.549,13.0,113.4,112.5,1.03,1
Eastern Conference,7,Miami Heat,44,38,.537,14.0,109.5,109.8,-0.13,1
Eastern Conference,8,Atlanta Hawks,41,41,.500,17.0,118.4,118.1,0.32,1
Eastern Conference,9,Toronto Raptors,41,41,.500,17.0,112.9,111.4,1.59,0
Eastern Conference,10,Chicago Bulls,40,42,.488,18.0,113.1,118.1,1.37,0
Eastern Conference,11,Indiana Pacers,35,47,.427,23.0,116.3,119.5,-2.91,0
Eastern Conference,12,Washington Wizards,35,47,.427,23.0,113.2,114.4,-1.06,0
Eastern Conference,13,Orlando Magic,34,48,.415,24.0,111.4,114.0,-2.39,0
Eastern Conference,14,Charlotte Hornets,27,55,.329,31.0,111.0,117.2,-5.89,0
Eastern Conference,15,Detroit Pistons,17,65,.207,41.0,110.3,118.5,-7.73,0
Western Conference,1,Denver Nuggets,53,29,.646,—,115.8,112.5,3.04,1
Western Conference,2,Memphis Grizzlies,51,31,.622,2.0,116.9,113.0,3.60,1
Western Conference,3,Sacramento Kings,48,34,.585,5.0,120.7,118.1,2.30,1
Western Conference,4,Phoenix Suns,45,37,.549,8.0,113.6,116.6,2.08,1
Western Conference,5,Los Angeles Clippers,44,38,.537,9.0,113.6,113.1,0.31,1
Western Conference,6,Golden State Warriors,44,38,.537,9.0,118.9,117.1,1.66,1
Western Conference,7,Los Angeles Lakers,43,39,.524,10.0,117.2,116.6,0.43,1
Western Conference,8,Minnesota Timberwolves,42,40,.512,11.0,115.8,115.8,-0.22,1
Western Conference,9,New Orleans Pelicans,42,40,.512,11.0,114.4,112.5,1.63,0
Western Conference,10,Oklahoma City Thunder,40,42,.488,13.0,117.5,116.4,0.96,0
Western Conference,11,Dallas Mavericks,38,44,.463,15.0,114.2,114.1,-0.14,0
Western Conference,12,Utah Jazz,37,45,.451,16.0,117.1,118.0,-1.03,0
Western Conference,13,Portland Trail Blazers,33,49,.402,20.0,113.4,117.4,-3.96,0
Western Conference,14,Houston Rockets,22,60,.268,31.0,110.7,118.6,-7.62,0
Western Conference,15,San Antonio Spurs,22,60,.268,31.0,113.0,123.1,-9.82,0